일자,원정팀,관중수
2023/04/07,두산,"12,821"
2023/04/08,두산,"16,432"
2023/04/09,두산,"14,070"
2023/04/11,한화,"3,623"
2023/04/12,한화,"5,252"
2023/04/13,한화,"5,457"
2023/04/21,삼성,"6,870"
2023/04/22,삼성,"12,990"
2023/04/23,삼성,"10,026"
2023/04/25,NC,"2,216"
2023/04/26,NC,"4,798"
2023/04/27,NC,"6,017"
2023/05/02,롯데,"8,892"
2023/05/03,롯데,"13,815"
2023/05/09,SSG,"8,916"
2023/05/10,SSG,"8,481"
2023/05/11,SSG,"8,898"
2023/05/19,키움,"11,290"
2023/05/20,키움,"19,030"
2023/05/21,키움,"14,617"
2023/05/26,LG,"10,954"
2023/05/27,LG,"17,931"
2023/05/28,LG,"17,015"
2023/05/30,KT,"5,352"
2023/05/31,KT,"7,244"
2023/06/06,SSG,"15,130"
2023/06/07,SSG,"7,569"
2023/06/08,SSG,"6,646"
2023/06/16,NC,"10,170"
2023/06/17,NC,"15,992"
2023/06/18,NC,"13,967"
2023/06/23,KT,"9,018"
2023/06/24,KT,"14,043"
2023/06/27,키움,"5,349"
2023/06/28,키움,"4,816"
2023/07/12,삼성,"8,470"
2023/07/13,삼성,"7,085"
2023/07/21,두산,"9,779"
2023/07/28,롯데,"10,295"
2023/07/29,롯데,"14,754"
2023/07/30,롯데,"11,796"
2023/08/04,한화,"11,495"
2023/08/05,한화,"13,487"
2023/08/06,한화,"10,125"
2023/08/09,LG,"3,700"
2023/08/15,키움,"11,541"
2023/08/16,키움,"7,050"
2023/08/17,키움,"6,159"
2023/08/25,한화,"8,457"
2023/08/26,한화,"16,812"
2023/08/27,한화,"12,627"
2023/08/31,NC,"7,152"
2023/09/08,LG,"12,280"
2023/09/09,LG,"11,820"
2023/09/09,LG,"18,462"
2023/09/10,LG,"13,948"
2023/09/13,롯데,"6,323"
2023/09/15,두산,"7,350"
2023/09/17,두산,"12,878"
2023/09/18,두산,"3,482"
2023/09/19,LG,"8,871"
2023/09/22,KT,"10,221"
2023/09/23,KT,"13,846"
2023/09/24,KT,"10,108"
2023/10/08,삼성,"16,005"
2023/10/09,삼성,"12,758"
2023/10/10,SSG,"8,333"
2023/10/11,키움,"3,656"
2023/10/12,롯데,"4,767"
2023/10/16,NC,"5,251"
2023/10/17,NC,"10,175"
